"names","type"
"methodological","technology"
"naturalism","technology"
"scientific","technology"
"creationism","technology"
"models","technology"
"nature","technology"
"models","technology"
"universe","technology"
"john","technology"
"pecham","technology"
"demarcation","technology"
"problem","technology"
"imre","technology"
"lakatos","technology"
"scientific","technology"
"progress","technology"
"epistemological","technology"
"anarchism","technology"
"paul","technology"
"k","technology"
"feyerabend","technology"
"constructive","technology"
"empiricism","technology"
"interpretations","technology"
"quantum","technology"
"mechanics","technology"
"critique","technology"
"ptolemy","technology"
"affirming","technology"
"consequent","technology"
"advancement","technology"
"learning","technology"
"scientific","technology"
"misconduct","technology"
"john","technology"
"ziman","technology"
"intersubjective","technology"
"verifiability","technology"
"applied","technology"
"research","technology"
"basic","technology"
"research","technology"
"rod","technology"
"cells","technology"
"night","technology"
"vision","technology"
"search","technology"
"rescue","technology"
"cargo","technology"
"cult","technology"
"science","technology"
"richard","technology"
"feynman","technology"
"junk","technology"
"science","technology"
"fringe","technology"
"science","technology"
"fallacy","technology"
"single","technology"
"cause","technology"
"hyperbolic","technology"
"doubt","technology"
"barry","technology"
"stroud","technology"
"germ","technology"
"theory","technology"
"disease","technology"
"relativity","technology"
"theory","technology"
"scientific","technology"
"skepticism","technology"
